Symbol,Date,Close
TSLA,02/01/2018,64.11
TSLA,03/01/2018,63.45
TSLA,04/01/2018,62.92
TSLA,05/01/2018,63.32
TSLA,08/01/2018,67.28
TSLA,09/01/2018,66.74
TSLA,10/01/2018,66.96
TSLA,11/01/2018,67.59
TSLA,12/01/2018,67.24
TSLA,16/01/2018,68.01
TSLA,17/01/2018,69.43
TSLA,18/01/2018,68.91
TSLA,19/01/2018,70
TSLA,22/01/2018,70.31
TSLA,23/01/2018,70.56
TSLA,24/01/2018,69.18
TSLA,25/01/2018,67.53
TSLA,26/01/2018,68.57
TSLA,29/01/2018,69.91
TSLA,30/01/2018,69.16
TSLA,31/01/2018,70.86
TSLA,01/02/2018,69.85
TSLA,02/02/2018,68.75
TSLA,05/02/2018,66.63
TSLA,06/02/2018,66.79
TSLA,07/02/2018,69
TSLA,08/02/2018,63.05
TSLA,09/02/2018,62.08
TSLA,12/02/2018,63.15
TSLA,13/02/2018,64.73
TSLA,14/02/2018,64.46
TSLA,15/02/2018,66.81
TSLA,16/02/2018,67.1
TSLA,20/02/2018,66.95
TSLA,21/02/2018,66.66
TSLA,22/02/2018,69.23
TSLA,23/02/2018,70.41
TSLA,26/02/2018,71.48
TSLA,27/02/2018,70.2
TSLA,28/02/2018,68.61
TSLA,01/03/2018,66.19
TSLA,02/03/2018,67.02
TSLA,05/03/2018,66.67
TSLA,06/03/2018,65.64
TSLA,07/03/2018,66.46
TSLA,08/03/2018,65.82
TSLA,09/03/2018,65.43
TSLA,12/03/2018,69.1
TSLA,13/03/2018,68.37
TSLA,14/03/2018,65.33
TSLA,15/03/2018,65.12
TSLA,16/03/2018,64.27
TSLA,19/03/2018,62.71
TSLA,20/03/2018,62.11
TSLA,21/03/2018,63.31
TSLA,22/03/2018,61.82
TSLA,23/03/2018,60.31
TSLA,26/03/2018,60.84
TSLA,27/03/2018,55.84
TSLA,28/03/2018,51.56
TSLA,29/03/2018,53.23
TSLA,02/04/2018,50.5
TSLA,03/04/2018,53.51
TSLA,04/04/2018,57.39
TSLA,05/04/2018,61.14
TSLA,06/04/2018,59.86
TSLA,09/04/2018,57.93
TSLA,10/04/2018,60.94
TSLA,11/04/2018,60.19
TSLA,12/04/2018,58.82
TSLA,13/04/2018,60.07
TSLA,16/04/2018,58.24
TSLA,17/04/2018,58.24
TSLA,18/04/2018,58.67
TSLA,19/04/2018,60.02
TSLA,20/04/2018,58.05
TSLA,23/04/2018,56.67
TSLA,24/04/2018,56.69
TSLA,25/04/2018,56.14
TSLA,26/04/2018,57.1
TSLA,27/04/2018,58.82
TSLA,30/04/2018,58.78
TSLA,01/05/2018,59.98
TSLA,02/05/2018,60.23
TSLA,03/05/2018,56.89
TSLA,04/05/2018,58.82
TSLA,07/05/2018,60.55
TSLA,08/05/2018,60.39
TSLA,09/05/2018,61.37
TSLA,10/05/2018,61
TSLA,11/05/2018,60.21
TSLA,14/05/2018,58.39
TSLA,15/05/2018,56.84
TSLA,16/05/2018,57.3
TSLA,17/05/2018,56.91
TSLA,18/05/2018,56.91
TSLA,21/05/2018,56.9
TSLA,22/05/2018,55
TSLA,23/05/2018,55.81
TSLA,24/05/2018,55.57
TSLA,25/05/2018,55.77
TSLA,29/05/2018,56.75
TSLA,30/05/2018,58.34
TSLA,31/05/2018,56.95
TSLA,01/06/2018,58.36
TSLA,04/06/2018,59.35
TSLA,05/06/2018,58.23
TSLA,06/06/2018,63.9
TSLA,07/06/2018,63.22
TSLA,08/06/2018,63.53
TSLA,11/06/2018,66.42
TSLA,12/06/2018,68.55
TSLA,13/06/2018,68.96
TSLA,14/06/2018,71.54
TSLA,15/06/2018,71.63
TSLA,18/06/2018,74.17
TSLA,19/06/2018,70.51
TSLA,20/06/2018,72.44
TSLA,21/06/2018,69.5
TSLA,22/06/2018,66.73
TSLA,25/06/2018,66.6
TSLA,26/06/2018,68.4
TSLA,27/06/2018,68.9
TSLA,28/06/2018,69.99
TSLA,29/06/2018,68.59
TSLA,02/07/2018,67.01
TSLA,03/07/2018,62.17
TSLA,05/07/2018,61.83
TSLA,06/07/2018,61.78
TSLA,09/07/2018,63.7
TSLA,10/07/2018,64.49
TSLA,11/07/2018,63.79
TSLA,12/07/2018,63.34
TSLA,13/07/2018,63.77
TSLA,16/07/2018,62.02
TSLA,17/07/2018,64.54
TSLA,18/07/2018,64.77
TSLA,19/07/2018,64.05
TSLA,20/07/2018,62.72
TSLA,23/07/2018,60.64
TSLA,24/07/2018,59.49
TSLA,25/07/2018,61.75
TSLA,26/07/2018,61.33
TSLA,27/07/2018,59.44
TSLA,30/07/2018,58.03
TSLA,31/07/2018,59.63
TSLA,01/08/2018,60.17
TSLA,02/08/2018,69.91
TSLA,03/08/2018,69.63
