Date,Price,Open,High,Low,Vol.,Change %
16-Dec-20,90.078,90.445,90.468,90.045,-,-0.37%
15-Dec-20,90.409,90.595,90.78,90.345,22.41K,-0.35%
14-Dec-20,90.731,90.78,90.9,90.455,0.53K,-0.26%
11-Dec-20,90.97,90.75,91.05,90.63,11.62K,0.17%
10-Dec-20,90.82,91.065,91.155,90.655,20.89K,-0.29%
9-Dec-20,91.083,90.905,91.205,90.69,26.09K,0.13%
8-Dec-20,90.968,90.915,91.02,90.745,23.12K,0.20%
7-Dec-20,90.789,90.795,91.24,90.61,35.14K,0.10%
4-Dec-20,90.694,90.65,90.87,90.47,32.95K,-0.03%
3-Dec-20,90.718,91.07,91.095,90.505,22.12K,-0.44%
2-Dec-20,91.115,91.19,91.495,90.98,25.50K,-0.20%
1-Dec-20,91.297,91.9,91.915,91.14,29.58K,-0.61%
30-Nov-20,91.858,91.73,92.04,91.49,31.58K,0.06%
27-Nov-20,91.801,92,92.035,91.74,9.92K,-0.18%
26-Nov-20,91.966,91.95,92.165,91.83,8.18K,0.00%
25-Nov-20,91.966,92.118,92.252,91.91,-,-0.28%
24-Nov-20,92.22,92.51,92.555,92.105,23.19K,-0.30%
23-Nov-20,92.494,92.345,92.795,92,35.61K,0.11%
20-Nov-20,92.395,92.33,92.425,92.185,16.26K,0.12%
19-Nov-20,92.284,92.505,92.72,92.225,20.05K,-0.03%
18-Nov-20,92.311,92.44,92.51,92.195,14.66K,-0.09%
17-Nov-20,92.398,92.485,92.605,92.25,17.59K,-0.25%
16-Nov-20,92.63,92.715,92.85,92.435,29.49K,-0.13%
13-Nov-20,92.75,92.96,93.005,92.7,14.30K,-0.22%
12-Nov-20,92.956,92.97,93.125,92.755,23.31K,-0.07%
11-Nov-20,93.024,92.73,93.19,92.595,23.55K,0.31%
10-Nov-20,92.736,92.81,92.965,92.585,22.87K,0.02%
9-Nov-20,92.715,92.23,92.97,92.12,45.99K,0.53%
6-Nov-20,92.225,92.74,92.825,92.165,32.88K,-0.31%
5-Nov-20,92.516,93.4,93.54,92.47,35.45K,-0.96%
4-Nov-20,93.411,93.66,94.33,93.245,36.54K,-0.16%
3-Nov-20,93.56,94.035,94.06,93.295,18.24K,-0.62%
2-Nov-20,94.145,94.095,94.315,93.99,14.75K,0.11%
30-Oct-20,94.042,93.925,94.105,93.66,18.48K,0.07%
29-Oct-20,93.977,93.47,94.14,93.355,26.34K,0.61%
28-Oct-20,93.409,93.11,93.66,93.04,25.86K,0.52%
27-Oct-20,92.927,93.06,93.13,92.775,13.97K,-0.13%
26-Oct-20,93.044,92.75,93.11,92.73,14.72K,0.30%
23-Oct-20,92.765,92.97,93.13,92.645,17.69K,-0.21%
22-Oct-20,92.964,92.725,92.99,92.61,12.27K,0.39%
21-Oct-20,92.599,93.035,93.06,92.46,24.27K,-0.49%
20-Oct-20,93.051,93.415,93.505,92.975,22.35K,-0.40%
19-Oct-20,93.429,93.72,93.775,93.195,21.62K,-0.27%
16-Oct-20,93.679,93.815,93.885,93.52,19.36K,-0.20%
15-Oct-20,93.864,93.435,93.925,93.365,17.90K,0.53%
