"date","cardholder_id","amount"
"2018-12-07 07:22:03",1,1894.0000000000002
"2018-03-05 08:26:08",16,1617.0000000000002
"2018-03-06 07:18:09",25,1334
"2018-01-22 08:07:03",16,1131
"2018-09-26 08:48:40",1,1060
"2018-09-06 08:28:55",1,1017
"2018-03-26 07:41:59",9,1009
"2018-12-14 08:51:41",12,748
"2018-04-01 07:17:21",25,100
"2018-08-26 07:15:18",20,23.13
"2018-08-28 07:17:14",10,20.71
"2018-10-07 08:16:54",20,20.44
"2018-10-18 07:16:04",16,19.86
"2018-03-03 08:42:02",24,19.5
"2018-06-04 08:30:28",4,19.49
"2018-03-26 08:08:27",16,19.34
"2018-06-01 08:56:59",11,19.33
"2018-12-23 07:39:47",10,19.27
"2018-09-23 07:30:56",15,19.02
"2018-02-21 08:21:10",5,18.98
"2018-08-02 07:44:24",19,18.93
"2018-07-04 08:51:29",10,18.93
"2018-06-09 07:29:28",23,18.82
"2018-06-02 07:45:48",23,18.76
"2018-01-06 08:42:50",20,18.72
"2018-06-24 07:28:48",14,18.6
"2018-06-23 07:12:06",8,18.56
"2018-08-14 08:38:49",18,18.54
"2018-10-07 07:08:08",24,18.53
"2018-02-27 08:27:00",2,18.52
"2018-09-12 07:33:19",8,18.48
"2018-01-06 07:00:32",13,18.35
"2018-02-18 08:54:19",18,18.3
"2018-02-25 07:55:21",20,18.14
"2018-02-05 08:37:24",11,17.85
"2018-09-02 07:36:42",23,17.8
"2018-04-15 08:32:38",12,17.78
"2018-04-09 07:08:11",23,17.73
"2018-06-13 08:46:29",21,17.56
"2018-01-18 08:18:50",10,17.54
"2018-01-18 08:58:13",11,17.53
"2018-05-20 08:36:46",6,17.48
"2018-06-02 07:44:39",20,17.47
"2018-01-16 08:02:04",3,17.36
"2018-12-28 07:02:38",13,17.13
"2018-06-08 07:31:57",5,17.03
"2018-10-29 07:18:34",16,16.85
"2018-10-28 07:02:33",5,16.85
"2018-04-23 08:18:49",8,16.65
"2018-05-03 07:20:28",4,16.64
"2018-03-05 07:34:15",25,16.58
"2018-02-18 07:25:42",24,16.38
"2018-03-28 07:36:02",10,16.36
"2018-12-16 08:41:53",6,16.35
"2018-01-06 08:49:34",5,16.28
"2018-07-17 08:10:36",20,16.21
"2018-06-10 07:55:27",18,16.16
"2018-04-11 08:26:52",13,16.07
"2018-09-06 08:35:35",20,15.98
"2018-06-19 07:16:54",25,15.98
"2018-05-28 07:57:39",2,15.96
"2018-06-26 08:00:22",16,15.94
"2018-10-30 07:08:04",23,15.94
"2018-05-20 07:05:42",24,15.37
"2018-01-14 07:33:54",23,15.21
"2018-01-27 08:36:58",15,15.15
"2018-02-25 08:23:37",8,15.1
"2018-06-10 08:20:40",13,15.05
"2018-04-20 08:27:59",24,15.04
"2018-09-26 07:52:23",19,14.94
"2018-12-11 07:42:50",1,14.92
"2018-04-07 07:18:20",12,14.8
"2018-08-02 07:13:49",7,14.42
"2018-12-15 08:34:15",25,14.36
"2018-04-24 07:41:49",15,14.3
"2018-10-22 07:41:56",13,13.83
"2018-09-03 07:27:55",12,13.59
"2018-03-10 08:52:09",2,13.53
"2018-04-27 08:08:38",19,13.52
"2018-02-26 07:31:20",20,13.46
"2018-05-01 07:40:00",15,12.98
"2018-10-27 08:04:44",23,12.98
"2018-03-30 08:12:28",5,12.96
"2018-01-17 07:31:03",18,12.67
"2018-08-08 08:36:23",11,12.52
"2018-07-30 08:49:16",5,12.5
"2018-11-30 08:52:20",7,12.32
"2018-12-29 08:11:55",18,12.25
"2018-02-19 08:50:36",1,12.17
"2018-01-20 08:35:34",12,11.96
"2018-07-31 07:44:59",24,11.93
"2018-01-17 07:56:09",24,11.91
"2018-06-08 07:25:30",25,11.88
"2018-12-31 08:22:17",23,11.87
"2018-08-30 08:46:49",4,11.86
"2018-04-08 07:06:20",13,11.73
"2018-09-15 08:33:49",16,11.72
"2018-12-18 07:45:28",21,11.7
"2018-02-25 07:37:03",13,11.68
"2018-05-04 08:21:59",11,11.65
